wikidata	name	latitude	longitude
Q60	New York City	40.71277777777778	-74.00611111111111
Q100	Boston	42.360277777777775	-71.05777777777777
Q1297	Chicago	41.88194444444444	-87.62777777777778
Q1345	Philadelphia	39.952777777778	-75.163611111111
Q12439	Detroit	42.331666666667	-83.0475
Q16554	Denver	39.739166666667	-104.98472222222
Q18419	Brooklyn	40.65083333333333	-73.94972222222222
Q28848	Saint Paul	44.944166666667	-93.093611111111
Q36091	Minneapolis	44.981944444444444	-93.26916666666666
Q38022	St. Louis	38.62638888888889	-90.19944444444444
Q43196	Cincinnati	39.1	-84.5125
Q43788	Madison	43.07472222222222	-89.38416666666667
Q49111	Cambridge	42.375	-71.106111111111
Q217346	Ithaca	42.443333333333	-76.5
Q257536	Janesville	42.6854687	-89.0136316
Q264605	Humboldt	42.723611111111	-94.221388888889
Q462161	Kenosha	42.582222222222	-87.845555555556
Q485172	Ann Arbor	42.28138888888889	-83.74833333333333
Q486877	South Bend	41.676388888889	-86.250277777778
Q493840	Lawrence	38.971666666667	-95.235277777778
Q523240	Concord	42.460277777778	-71.349444444444
Q575750	Quincy	39.932222222222	-91.388611111111
Q657748	Manchester-by-the-Sea	42.577777777778	-70.769444444444
Q985993	Jamaica Plain	42.3075	-71.113055555556
Q1570063	Columbus	43.338277777778	-89.018944444444
Q2008706	Elkhart	41.6831	-85.9689
Q2049231	Wayland	42.3625	-71.361944444444
Q2304357	Westwood	42.213888888889	-71.225
Q2318684	Reading	42.525555555556	-71.095833333333
Q3143666	Hyde Park	41.8	-87.59
